name,lr,epochs,eff_bs,dropout,best_dev_acc,time_s
SST default,2e-05,5,64,0.3,0.4150772025431426,221.2445776462555
SST lr=5e-5,5e-05,5,64,0.3,0.42415985467756584,243.0480842590332
SST lr=1e-4,0.0001,5,64,0.3,0.3960036330608538,288.6785590648651
SST lr=1e-5 ep10,1e-05,10,64,0.3,0.4178019981834696,583.8837313652039
SST lr=5e-5 ep10,5e-05,10,64,0.3,0.42415985467756584,556.9507870674133
SST drop=0.1,2e-05,10,64,0.1,0.4141689373297003,522.7704524993896
SST drop=0.2 5e-5,5e-05,10,64,0.2,0.40599455040871935,573.1340947151184
CFIMDB default,2e-05,5,8,0.3,0.8571428571428571,1329.6453750133514
CFIMDB lr=5e-5,5e-05,5,8,0.3,0.8816326530612245,597.1513850688934
CFIMDB lr=1e-4,0.0001,5,8,0.3,0.8938775510204081,362.1594455242157
CFIMDB lr=1e-5 ep10,1e-05,10,8,0.3,0.8979591836734694,710.5934994220734
CFIMDB lr=5e-5 ep10,5e-05,10,8,0.3,0.9102040816326531,710.9878318309784
CFIMDB drop=0.1,2e-05,10,8,0.1,0.9183673469387755,711.806943655014
CFIMDB drop=0.2 5e-5,5e-05,10,8,0.2,0.889795918367347,708.3527941703796
